origen	palabra	id_arasaac	error
frases.json	qué le pasa		No encontrado en ARASAAC
vocabulario.json	celeste		No encontrado en ARASAAC
vocabulario.json	fucsia		No encontrado en ARASAAC
vocabulario.json	indigo		No encontrado en ARASAAC
vocabulario.json	magenta		No encontrado en ARASAAC
vocabulario.json	patrulla		No encontrado en ARASAAC
vocabulario.json	puppy		No encontrado en ARASAAC
vocabulario.json	quinque		No encontrado en ARASAAC
vocabulario.json	turquesa		No encontrado en ARASAAC
vocabulario.json	índigo		No encontrado en ARASAAC
